Question,Option 1,Option 2,Option 3,Category,Option 4
Which subject do you enjoy studying the most?,Mathematics and Science,Economics and Business Studies,History and Literature,,
What kind of activities do you excel in?,Solving mathematical problems or conducting experiments,Managing finances or creating business strategies,"Writing stories, painting, or acting in plays",,
What type of career are you most interested in?,"Engineer, Scientist, or Doctor","Entrepreneur, Accountant, or Economist","Artist, Historian, or Writer",,
How do you prefer to approach challenges?,Through logical and analytical thinking,By considering practical applications and profitability,With creativity and emotional understanding,,
What kind of projects do you enjoy the most? (Example 5),Scientific research or technology-based projects (5),Business plans or financial models (5),"Artistic, historical, or cultural studies (5)",,
What kind of projects do you enjoy the most? (Example 6),Scientific research or technology-based projects (6),Business plans or financial models (6),"Artistic, historical, or cultural studies (6)",,
What kind of projects do you enjoy the most? (Example 7),Scientific research or technology-based projects (7),Business plans or financial models (7),"Artistic, historical, or cultural studies (7)",,
What kind of projects do you enjoy the most? (Example 8),Scientific research or technology-based projects (8),Business plans or financial models (8),"Artistic, historical, or cultural studies (8)",,
What kind of projects do you enjoy the most? (Example 9),Scientific research or technology-based projects (9),Business plans or financial models (9),"Artistic, historical, or cultural studies (9)",,
What kind of projects do you enjoy the most? (Example 10),Scientific research or technology-based projects (10),Business plans or financial models (10),"Artistic, historical, or cultural studies (10)",,
What kind of projects do you enjoy the most? (Example 11),Scientific research or technology-based projects (11),Business plans or financial models (11),"Artistic, historical, or cultural studies (11)",,
What kind of projects do you enjoy the most? (Example 12),Scientific research or technology-based projects (12),Business plans or financial models (12),"Artistic, historical, or cultural studies (12)",,
What kind of projects do you enjoy the most? (Example 13),Scientific research or technology-based projects (13),Business plans or financial models (13),"Artistic, historical, or cultural studies (13)",,
What kind of projects do you enjoy the most? (Example 14),Scientific research or technology-based projects (14),Business plans or financial models (14),"Artistic, historical, or cultural studies (14)",,
What kind of projects do you enjoy the most? (Example 15),Scientific research or technology-based projects (15),Business plans or financial models (15),"Artistic, historical, or cultural studies (15)",,
What kind of projects do you enjoy the most? (Example 16),Scientific research or technology-based projects (16),Business plans or financial models (16),"Artistic, historical, or cultural studies (16)",,
What kind of projects do you enjoy the most? (Example 17),Scientific research or technology-based projects (17),Business plans or financial models (17),"Artistic, historical, or cultural studies (17)",,
What kind of projects do you enjoy the most? (Example 18),Scientific research or technology-based projects (18),Business plans or financial models (18),"Artistic, historical, or cultural studies (18)",,
What kind of projects do you enjoy the most? (Example 19),Scientific research or technology-based projects (19),Business plans or financial models (19),"Artistic, historical, or cultural studies (19)",,
What kind of projects do you enjoy the most? (Example 20),Scientific research or technology-based projects (20),Business plans or financial models (20),"Artistic, historical, or cultural studies (20)",,
What kind of projects do you enjoy the most? (Example 21),Scientific research or technology-based projects (21),Business plans or financial models (21),"Artistic, historical, or cultural studies (21)",,
What kind of projects do you enjoy the most? (Example 22),Scientific research or technology-based projects (22),Business plans or financial models (22),"Artistic, historical, or cultural studies (22)",,
What kind of projects do you enjoy the most? (Example 23),Scientific research or technology-based projects (23),Business plans or financial models (23),"Artistic, historical, or cultural studies (23)",,
What kind of projects do you enjoy the most? (Example 24),Scientific research or technology-based projects (24),Business plans or financial models (24),"Artistic, historical, or cultural studies (24)",,
What kind of projects do you enjoy the most? (Example 25),Scientific research or technology-based projects (25),Business plans or financial models (25),"Artistic, historical, or cultural studies (25)",,
What kind of projects do you enjoy the most? (Example 26),Scientific research or technology-based projects (26),Business plans or financial models (26),"Artistic, historical, or cultural studies (26)",,
What kind of projects do you enjoy the most? (Example 27),Scientific research or technology-based projects (27),Business plans or financial models (27),"Artistic, historical, or cultural studies (27)",,
What kind of projects do you enjoy the most? (Example 28),Scientific research or technology-based projects (28),Business plans or financial models (28),"Artistic, historical, or cultural studies (28)",,
What kind of projects do you enjoy the most? (Example 29),Scientific research or technology-based projects (29),Business plans or financial models (29),"Artistic, historical, or cultural studies (29)",,
What kind of projects do you enjoy the most? (Example 30),Scientific research or technology-based projects (30),Business plans or financial models (30),"Artistic, historical, or cultural studies (30)",,
What kind of projects do you enjoy the most? (Example 31),Scientific research or technology-based projects (31),Business plans or financial models (31),"Artistic, historical, or cultural studies (31)",,
What kind of projects do you enjoy the most? (Example 32),Scientific research or technology-based projects (32),Business plans or financial models (32),"Artistic, historical, or cultural studies (32)",,
What kind of projects do you enjoy the most? (Example 33),Scientific research or technology-based projects (33),Business plans or financial models (33),"Artistic, historical, or cultural studies (33)",,
What kind of projects do you enjoy the most? (Example 34),Scientific research or technology-based projects (34),Business plans or financial models (34),"Artistic, historical, or cultural studies (34)",,
What kind of projects do you enjoy the most? (Example 35),Scientific research or technology-based projects (35),Business plans or financial models (35),"Artistic, historical, or cultural studies (35)",,
What kind of projects do you enjoy the most? (Example 36),Scientific research or technology-based projects (36),Business plans or financial models (36),"Artistic, historical, or cultural studies (36)",,
What kind of projects do you enjoy the most? (Example 37),Scientific research or technology-based projects (37),Business plans or financial models (37),"Artistic, historical, or cultural studies (37)",,
What kind of projects do you enjoy the most? (Example 38),Scientific research or technology-based projects (38),Business plans or financial models (38),"Artistic, historical, or cultural studies (38)",,
What kind of projects do you enjoy the most? (Example 39),Scientific research or technology-based projects (39),Business plans or financial models (39),"Artistic, historical, or cultural studies (39)",,
What kind of projects do you enjoy the most? (Example 40),Scientific research or technology-based projects (40),Business plans or financial models (40),"Artistic, historical, or cultural studies (40)",,
What kind of projects do you enjoy the most? (Example 41),Scientific research or technology-based projects (41),Business plans or financial models (41),"Artistic, historical, or cultural studies (41)",,
What kind of projects do you enjoy the most? (Example 42),Scientific research or technology-based projects (42),Business plans or financial models (42),"Artistic, historical, or cultural studies (42)",,
What kind of projects do you enjoy the most? (Example 43),Scientific research or technology-based projects (43),Business plans or financial models (43),"Artistic, historical, or cultural studies (43)",,
What kind of projects do you enjoy the most? (Example 44),Scientific research or technology-based projects (44),Business plans or financial models (44),"Artistic, historical, or cultural studies (44)",,
What kind of projects do you enjoy the most? (Example 45),Scientific research or technology-based projects (45),Business plans or financial models (45),"Artistic, historical, or cultural studies (45)",,
What kind of projects do you enjoy the most? (Example 46),Scientific research or technology-based projects (46),Business plans or financial models (46),"Artistic, historical, or cultural studies (46)",,
What kind of projects do you enjoy the most? (Example 47),Scientific research or technology-based projects (47),Business plans or financial models (47),"Artistic, historical, or cultural studies (47)",,
What kind of projects do you enjoy the most? (Example 48),Scientific research or technology-based projects (48),Business plans or financial models (48),"Artistic, historical, or cultural studies (48)",,
What kind of projects do you enjoy the most? (Example 49),Scientific research or technology-based projects (49),Business plans or financial models (49),"Artistic, historical, or cultural studies (49)",,
What kind of projects do you enjoy the most? (Example 50),Scientific research or technology-based projects (50),Business plans or financial models (50),"Artistic, historical, or cultural studies (50)",,
What kind of projects do you enjoy the most? (Example 51),Scientific research or technology-based projects (51),Business plans or financial models (51),"Artistic, historical, or cultural studies (51)",,
What kind of projects do you enjoy the most? (Example 52),Scientific research or technology-based projects (52),Business plans or financial models (52),"Artistic, historical, or cultural studies (52)",,
What kind of projects do you enjoy the most? (Example 53),Scientific research or technology-based projects (53),Business plans or financial models (53),"Artistic, historical, or cultural studies (53)",,
What kind of projects do you enjoy the most? (Example 54),Scientific research or technology-based projects (54),Business plans or financial models (54),"Artistic, historical, or cultural studies (54)",,
What kind of projects do you enjoy the most? (Example 55),Scientific research or technology-based projects (55),Business plans or financial models (55),"Artistic, historical, or cultural studies (55)",,
What kind of projects do you enjoy the most? (Example 56),Scientific research or technology-based projects (56),Business plans or financial models (56),"Artistic, historical, or cultural studies (56)",,
What kind of projects do you enjoy the most? (Example 57),Scientific research or technology-based projects (57),Business plans or financial models (57),"Artistic, historical, or cultural studies (57)",,
What kind of projects do you enjoy the most? (Example 58),Scientific research or technology-based projects (58),Business plans or financial models (58),"Artistic, historical, or cultural studies (58)",,
What kind of projects do you enjoy the most? (Example 59),Scientific research or technology-based projects (59),Business plans or financial models (59),"Artistic, historical, or cultural studies (59)",,
What kind of projects do you enjoy the most? (Example 60),Scientific research or technology-based projects (60),Business plans or financial models (60),"Artistic, historical, or cultural studies (60)",,
What kind of projects do you enjoy the most? (Example 61),Scientific research or technology-based projects (61),Business plans or financial models (61),"Artistic, historical, or cultural studies (61)",,
What kind of projects do you enjoy the most? (Example 62),Scientific research or technology-based projects (62),Business plans or financial models (62),"Artistic, historical, or cultural studies (62)",,
What kind of projects do you enjoy the most? (Example 63),Scientific research or technology-based projects (63),Business plans or financial models (63),"Artistic, historical, or cultural studies (63)",,
What kind of projects do you enjoy the most? (Example 64),Scientific research or technology-based projects (64),Business plans or financial models (64),"Artistic, historical, or cultural studies (64)",,
What kind of projects do you enjoy the most? (Example 65),Scientific research or technology-based projects (65),Business plans or financial models (65),"Artistic, historical, or cultural studies (65)",,
What kind of projects do you enjoy the most? (Example 66),Scientific research or technology-based projects (66),Business plans or financial models (66),"Artistic, historical, or cultural studies (66)",,
What kind of projects do you enjoy the most? (Example 67),Scientific research or technology-based projects (67),Business plans or financial models (67),"Artistic, historical, or cultural studies (67)",,
What kind of projects do you enjoy the most? (Example 68),Scientific research or technology-based projects (68),Business plans or financial models (68),"Artistic, historical, or cultural studies (68)",,
What kind of projects do you enjoy the most? (Example 69),Scientific research or technology-based projects (69),Business plans or financial models (69),"Artistic, historical, or cultural studies (69)",,
What kind of projects do you enjoy the most? (Example 70),Scientific research or technology-based projects (70),Business plans or financial models (70),"Artistic, historical, or cultural studies (70)",,
What kind of projects do you enjoy the most? (Example 71),Scientific research or technology-based projects (71),Business plans or financial models (71),"Artistic, historical, or cultural studies (71)",,
What kind of projects do you enjoy the most? (Example 72),Scientific research or technology-based projects (72),Business plans or financial models (72),"Artistic, historical, or cultural studies (72)",,
What kind of projects do you enjoy the most? (Example 73),Scientific research or technology-based projects (73),Business plans or financial models (73),"Artistic, historical, or cultural studies (73)",,
What kind of projects do you enjoy the most? (Example 74),Scientific research or technology-based projects (74),Business plans or financial models (74),"Artistic, historical, or cultural studies (74)",,
What kind of projects do you enjoy the most? (Example 75),Scientific research or technology-based projects (75),Business plans or financial models (75),"Artistic, historical, or cultural studies (75)",,
What kind of projects do you enjoy the most? (Example 76),Scientific research or technology-based projects (76),Business plans or financial models (76),"Artistic, historical, or cultural studies (76)",,
What kind of projects do you enjoy the most? (Example 77),Scientific research or technology-based projects (77),Business plans or financial models (77),"Artistic, historical, or cultural studies (77)",,
What kind of projects do you enjoy the most? (Example 78),Scientific research or technology-based projects (78),Business plans or financial models (78),"Artistic, historical, or cultural studies (78)",,
What kind of projects do you enjoy the most? (Example 79),Scientific research or technology-based projects (79),Business plans or financial models (79),"Artistic, historical, or cultural studies (79)",,
What kind of projects do you enjoy the most? (Example 80),Scientific research or technology-based projects (80),Business plans or financial models (80),"Artistic, historical, or cultural studies (80)",,
What kind of projects do you enjoy the most? (Example 81),Scientific research or technology-based projects (81),Business plans or financial models (81),"Artistic, historical, or cultural studies (81)",,
What kind of projects do you enjoy the most? (Example 82),Scientific research or technology-based projects (82),Business plans or financial models (82),"Artistic, historical, or cultural studies (82)",,
What kind of projects do you enjoy the most? (Example 83),Scientific research or technology-based projects (83),Business plans or financial models (83),"Artistic, historical, or cultural studies (83)",,
What kind of projects do you enjoy the most? (Example 84),Scientific research or technology-based projects (84),Business plans or financial models (84),"Artistic, historical, or cultural studies (84)",,
What kind of projects do you enjoy the most? (Example 85),Scientific research or technology-based projects (85),Business plans or financial models (85),"Artistic, historical, or cultural studies (85)",,
What kind of projects do you enjoy the most? (Example 86),Scientific research or technology-based projects (86),Business plans or financial models (86),"Artistic, historical, or cultural studies (86)",,
What kind of projects do you enjoy the most? (Example 87),Scientific research or technology-based projects (87),Business plans or financial models (87),"Artistic, historical, or cultural studies (87)",,
What kind of projects do you enjoy the most? (Example 88),Scientific research or technology-based projects (88),Business plans or financial models (88),"Artistic, historical, or cultural studies (88)",,
What kind of projects do you enjoy the most? (Example 89),Scientific research or technology-based projects (89),Business plans or financial models (89),"Artistic, historical, or cultural studies (89)",,
What kind of projects do you enjoy the most? (Example 90),Scientific research or technology-based projects (90),Business plans or financial models (90),"Artistic, historical, or cultural studies (90)",,
What kind of projects do you enjoy the most? (Example 91),Scientific research or technology-based projects (91),Business plans or financial models (91),"Artistic, historical, or cultural studies (91)",,
What kind of projects do you enjoy the most? (Example 92),Scientific research or technology-based projects (92),Business plans or financial models (92),"Artistic, historical, or cultural studies (92)",,
What kind of projects do you enjoy the most? (Example 93),Scientific research or technology-based projects (93),Business plans or financial models (93),"Artistic, historical, or cultural studies (93)",,
What kind of projects do you enjoy the most? (Example 94),Scientific research or technology-based projects (94),Business plans or financial models (94),"Artistic, historical, or cultural studies (94)",,
What kind of projects do you enjoy the most? (Example 95),Scientific research or technology-based projects (95),Business plans or financial models (95),"Artistic, historical, or cultural studies (95)",,
What kind of projects do you enjoy the most? (Example 96),Scientific research or technology-based projects (96),Business plans or financial models (96),"Artistic, historical, or cultural studies (96)",,
What kind of projects do you enjoy the most? (Example 97),Scientific research or technology-based projects (97),Business plans or financial models (97),"Artistic, historical, or cultural studies (97)",,
What kind of projects do you enjoy the most? (Example 98),Scientific research or technology-based projects (98),Business plans or financial models (98),"Artistic, historical, or cultural studies (98)",,
What kind of projects do you enjoy the most? (Example 99),Scientific research or technology-based projects (99),Business plans or financial models (99),"Artistic, historical, or cultural studies (99)",,
What kind of projects do you enjoy the most? (Example 100),Scientific research or technology-based projects (100),Business plans or financial models (100),"Artistic, historical, or cultural studies (100)",,
I enjoy solving logical puzzles and brain-teasers.,Strongly Agree,Agree,Neutral,Computer Science and Engineering (CSE),Disagree
I am interested in how computers and software work.,Strongly Agree,Agree,Neutral,Computer Science and Engineering (CSE),Disagree
I find it exciting to write code or create applications.,Strongly Agree,Agree,Neutral,Computer Science and Engineering (CSE),Disagree
I am curious about artificial intelligence and machine learning.,Strongly Agree,Agree,Neutral,Computer Science and Engineering (CSE),Disagree
I enjoy working on projects that involve databases.,Strongly Agree,Agree,Neutral,Computer Science and Engineering (CSE),Disagree
I like designing user-friendly interfaces or websites.,Strongly Agree,Agree,Neutral,Computer Science and Engineering (CSE),Disagree
I am interested in cybersecurity and data protection.,Strongly Agree,Agree,Neutral,Computer Science and Engineering (CSE),Disagree
I like automating repetitive tasks using technology.,Strongly Agree,Agree,Neutral,Computer Science and Engineering (CSE),Disagree
I enjoy analyzing and solving technical problems.,Strongly Agree,Agree,Neutral,Computer Science and Engineering (CSE),Disagree
I prefer working in teams on software development projects.,Strongly Agree,Agree,Neutral,Computer Science and Engineering (CSE),Disagree
I am curious about developing mobile applications.,Strongly Agree,Agree,Neutral,Computer Science and Engineering (CSE),Disagree
I like experimenting with computer hardware.,Strongly Agree,Agree,Neutral,Computer Science and Engineering (CSE),Disagree
I enjoy learning new programming languages.,Strongly Agree,Agree,Neutral,Computer Science and Engineering (CSE),Disagree
I am interested in data visualization and analytics.,Strongly Agree,Agree,Neutral,Computer Science and Engineering (CSE),Disagree
I enjoy the idea of working in the tech industry.,Strongly Agree,Agree,Neutral,Computer Science and Engineering (CSE),Disagree
I enjoy observing and analyzing the design of buildings.,Strongly Agree,Agree,Neutral,Civil Engineering (Civil),Disagree
I am interested in infrastructure projects like bridges or dams.,Strongly Agree,Agree,Neutral,Civil Engineering (Civil),Disagree
I am curious about construction techniques and materials.,Strongly Agree,Agree,Neutral,Civil Engineering (Civil),Disagree
I enjoy working on structural designs and blueprints.,Strongly Agree,Agree,Neutral,Civil Engineering (Civil),Disagree
I am fascinated by urban planning and architecture.,Strongly Agree,Agree,Neutral,Civil Engineering (Civil),Disagree
I want to work on projects that improve transportation systems.,Strongly Agree,Agree,Neutral,Civil Engineering (Civil),Disagree
I am interested in land surveying and topographical studies.,Strongly Agree,Agree,Neutral,Civil Engineering (Civil),Disagree
I like solving problems related to load distribution in structures.,Strongly Agree,Agree,Neutral,Civil Engineering (Civil),Disagree
I enjoy working outdoors on-site for projects.,Strongly Agree,Agree,Neutral,Civil Engineering (Civil),Disagree
I find satisfaction in building things from scratch.,Strongly Agree,Agree,Neutral,Civil Engineering (Civil),Disagree
I am interested in sustainable and green construction methods.,Strongly Agree,Agree,Neutral,Civil Engineering (Civil),Disagree
I like studying maps and layouts of construction projects.,Strongly Agree,Agree,Neutral,Civil Engineering (Civil),Disagree
I prefer projects that involve teamwork and collaboration.,Strongly Agree,Agree,Neutral,Civil Engineering (Civil),Disagree
I enjoy the idea of constructing safe and durable structures.,Strongly Agree,Agree,Neutral,Civil Engineering (Civil),Disagree
I am excited about shaping the physical environment.,Strongly Agree,Agree,Neutral,Civil Engineering (Civil),Disagree
I am passionate about solving environmental problems.,Strongly Agree,Agree,Neutral,Environmental Engineering (Env),Disagree
I enjoy working on projects that reduce pollution.,Strongly Agree,Agree,Neutral,Environmental Engineering (Env),Disagree
I am interested in renewable energy systems.,Strongly Agree,Agree,Neutral,Environmental Engineering (Env),Disagree
I like studying how human activity affects the environment.,Strongly Agree,Agree,Neutral,Environmental Engineering (Env),Disagree
I am curious about waste management and recycling methods.,Strongly Agree,Agree,Neutral,Environmental Engineering (Env),Disagree
I am interested in improving water quality and sanitation.,Strongly Agree,Agree,Neutral,Environmental Engineering (Env),Disagree
I enjoy learning about climate change and mitigation strategies.,Strongly Agree,Agree,Neutral,Environmental Engineering (Env),Disagree
I like working on sustainable solutions for energy use.,Strongly Agree,Agree,Neutral,Environmental Engineering (Env),Disagree
I am fascinated by ecosystems and biodiversity.,Strongly Agree,Agree,Neutral,Environmental Engineering (Env),Disagree
I prefer working in outdoor environments.,Strongly Agree,Agree,Neutral,Environmental Engineering (Env),Disagree
I enjoy designing solutions to reduce carbon footprints.,Strongly Agree,Agree,Neutral,Environmental Engineering (Env),Disagree
I am interested in projects involving soil conservation.,Strongly Agree,Agree,Neutral,Environmental Engineering (Env),Disagree
I want to work on renewable energy projects like solar or wind.,Strongly Agree,Agree,Neutral,Environmental Engineering (Env),Disagree
I enjoy collaborating on projects for environmental conservation.,Strongly Agree,Agree,Neutral,Environmental Engineering (Env),Disagree
I feel motivated to create a healthier environment for future generations.,Strongly Agree,Agree,Neutral,Environmental Engineering (Env),Disagree
I enjoy working with tools and machines.,Strongly Agree,Agree,Neutral,Mechanical Engineering (Mech),Disagree
I am interested in designing mechanical systems.,Strongly Agree,Agree,Neutral,Mechanical Engineering (Mech),Disagree
I am curious about how engines and vehicles work.,Strongly Agree,Agree,Neutral,Mechanical Engineering (Mech),Disagree
I enjoy solving problems related to fluid mechanics.,Strongly Agree,Agree,Neutral,Mechanical Engineering (Mech),Disagree
I like projects involving robotics and automation.,Strongly Agree,Agree,Neutral,Mechanical Engineering (Mech),Disagree
I am interested in manufacturing processes and technologies.,Strongly Agree,Agree,Neutral,Mechanical Engineering (Mech),Disagree
I enjoy understanding thermal dynamics and heat transfer.,Strongly Agree,Agree,Neutral,Mechanical Engineering (Mech),Disagree
I am fascinated by mechanical structures and their designs.,Strongly Agree,Agree,Neutral,Mechanical Engineering (Mech),Disagree
I like working on projects related to renewable energy machines.,Strongly Agree,Agree,Neutral,Mechanical Engineering (Mech),Disagree
I enjoy experimenting with mechanical components.,Strongly Agree,Agree,Neutral,Mechanical Engineering (Mech),Disagree
I am excited about innovations in automotive engineering.,Strongly Agree,Agree,Neutral,Mechanical Engineering (Mech),Disagree
"I prefer practical, hands-on problem-solving.",Strongly Agree,Agree,Neutral,Mechanical Engineering (Mech),Disagree
I am interested in materials science and engineering.,Strongly Agree,Agree,Neutral,Mechanical Engineering (Mech),Disagree
I like working with CAD software for mechanical designs.,Strongly Agree,Agree,Neutral,Mechanical Engineering (Mech),Disagree
I am curious about the future of industrial machinery.,Strongly Agree,Agree,Neutral,Mechanical Engineering (Mech),Disagree
I enjoy studying circuits and electronics.,Strongly Agree,Agree,Neutral,Electrical Engineering (EE),Disagree
I am curious about how power systems operate.,Strongly Agree,Agree,Neutral,Electrical Engineering (EE),Disagree
I am interested in renewable energy solutions like solar power.,Strongly Agree,Agree,Neutral,Electrical Engineering (EE),Disagree
I enjoy solving problems related to electrical systems.,Strongly Agree,Agree,Neutral,Electrical Engineering (EE),Disagree
I am fascinated by electric motors and transformers.,Strongly Agree,Agree,Neutral,Electrical Engineering (EE),Disagree
I like designing and testing electrical equipment.,Strongly Agree,Agree,Neutral,Electrical Engineering (EE),Disagree
I am curious about how batteries and energy storage work.,Strongly Agree,Agree,Neutral,Electrical Engineering (EE),Disagree
I enjoy studying and working on control systems.,Strongly Agree,Agree,Neutral,Electrical Engineering (EE),Disagree
I prefer hands-on work involving wiring and circuits.,Strongly Agree,Agree,Neutral,Electrical Engineering (EE),Disagree
I am interested in automation and electrical systems in industries.,Strongly Agree,Agree,Neutral,Electrical Engineering (EE),Disagree
I enjoy working on projects related to smart grids.,Strongly Agree,Agree,Neutral,Electrical Engineering (EE),Disagree
I am fascinated by electrical safety systems.,Strongly Agree,Agree,Neutral,Electrical Engineering (EE),Disagree
I want to contribute to advancing electrical infrastructure.,Strongly Agree,Agree,Neutral,Electrical Engineering (EE),Disagree
I like working on projects involving renewable energy grids.,Strongly Agree,Agree,Neutral,Electrical Engineering (EE),Disagree
I enjoy experimenting with innovative electrical technologies.,Strongly Agree,Agree,Neutral,Electrical Engineering (EE),Disagree
I enjoy working with electronic devices.,Strongly Agree,Agree,Neutral,Electronics and Telecommunication Engineering (ENTC),Disagree
I am fascinated by the principles of signal processing.,Strongly Agree,Agree,Neutral,Electronics and Telecommunication Engineering (ENTC),Disagree
I like learning about telecommunication systems.,Strongly Agree,Agree,Neutral,Electronics and Telecommunication Engineering (ENTC),Disagree
I am curious about designing microchips and circuits.,Strongly Agree,Agree,Neutral,Electronics and Telecommunication Engineering (ENTC),Disagree
I enjoy solving problems in wireless communication.,Strongly Agree,Agree,Neutral,Electronics and Telecommunication Engineering (ENTC),Disagree
I am interested in satellite and radar systems.,Strongly Agree,Agree,Neutral,Electronics and Telecommunication Engineering (ENTC),Disagree
I like studying communication protocols like 5G.,Strongly Agree,Agree,Neutral,Electronics and Telecommunication Engineering (ENTC),Disagree
I am fascinated by innovations in IoT (Internet of Things).,Strongly Agree,Agree,Neutral,Electronics and Telecommunication Engineering (ENTC),Disagree
I enjoy working on audio and video transmission projects.,Strongly Agree,Agree,Neutral,Electronics and Telecommunication Engineering (ENTC),Disagree
I am curious about radio-frequency engineering.,Strongly Agree,Agree,Neutral,Electronics and Telecommunication Engineering (ENTC),Disagree
I like experimenting with embedded systems and sensors.,Strongly Agree,Agree,Neutral,Electronics and Telecommunication Engineering (ENTC),Disagree
I am interested in projects involving robotics and electronics.,Strongly Agree,Agree,Neutral,Electronics and Telecommunication Engineering (ENTC),Disagree
I want to contribute to developing smarter communication systems.,Strongly Agree,Agree,Neutral,Electronics and Telecommunication Engineering (ENTC),Disagree
I enjoy learning about analog and digital signal processing.,Strongly Agree,Agree,Neutral,Electronics and Telecommunication Engineering (ENTC),Disagree
I am excited about working in advanced electronics fields.,Strongly Agree,Agree,Neutral,Electronics and Telecommunication Engineering (ENTC),Disagree
